site_name,Ecoregion,year,CS,DCW0,DCW,DCW1_5,DCW2,DCM,DCM0_5,PARd,DLW,DLWln,dDLW,dDLWln,dDLW2m,dDLW2mln,dDLW5m,dDLWsite,Kd490a,LS,bleaching,Report,CS0count,CS1count,CS2count,DCW-MCS0,DCW-MCS1,CS-MCS,C-PAR,C-PARprevm,CountDays,consecutive_days
CAR,Gulf of California,1998,0.881180438,0,0,0,0,0,0,4.576274223,37.733,3.630535043,51.977,3.950801313,44.06416667,3.785646905,34.7475,41.7075,-0.08,4.576,0,,0,0,0,0,0,0.592,27,24,2,1
CAR,Gulf of California,1999,-1.634533847,-8.083,-3.01,-1.635,0,-1.8,-1.24,4.145411094,29.387,3.3805524,39.293,3.671046386,37.608,3.627216794,34.1406,37.4614,-0.092,4.145,0,,79,21,2,-0.543,0,-1.488,25,26,72,53
CAR,Gulf of California,2000,-1.365962419,-4.258,-1.37,0,0,-0.82,0,4.143109031,28.78,3.359680701,45.839,3.825135257,50.4958,3.921890165,54.1662,53.7792,-0.084,4.143,0,,60,5,0,-0.254,0,-1.608,27,13,45,27
CAR,Gulf of California,2001,-1.378819562,-5.726,-2.64,0,0,-0.72,-0.58,3.269469154,30.112,3.404923763,23.161,3.14246983,21.28,3.057767664,19.4532,21.5282,-0.075,3.269,0,,42,16,0,-0.593,0,-1.428,25,17,39,37
CAR,Gulf of California,2002,-1.475962419,-8.274,-4.06,0,0,-1.21,-1.21,3.214044079,28.756,3.358846441,45.198,3.811052838,44.998,3.806618044,54.489,50.2256,-0.095,3.214,0,,61,21,0,-1.091,0,-2.308,29,26,54,39
CAR,Gulf of California,2003,1.148323296,0,0,0,0,0,0,-1.191361224,21.615,3.073387518,16.889,2.826662522,18.017,2.891315757,21.318,19.8046,-0.007,0,0,,4,0,0,0,0,0.602,17,19,4,1
CAR,Gulf of California,2004,-1.49739099,-9.489,-3.59,0,0,-1.7,-1.7,1.282224416,17.383,2.855492717,19.051,2.947119594,12.4868,2.524672086,9.1986,11.7212,-0.031,1.282,0,,69,17,0,-0.122,0,-1.308,15,23,68,72
CAR,Gulf of California,2005,0.191180438,0,0,0,0,0,0,1.161076676,21.202,3.054095517,23.022,3.13645028,25.5692,3.241388502,31.4846,29.0774,-0.054,1.161,0,,5,0,0,0,0,0.022,19,24,5,1
CAR,Gulf of California,2006,-1.185962419,-6.994,-2.21,0,0,-1.17,-0.61,-0.751125451,19.591,2.975070277,11.932,2.479223867,11.08883333,2.405938596,9.262333333,10.07766667,0.05,0,0,,71,16,0,-2.022,0,-1.908,9,24,70,47
CAR,Gulf of California,2007,-1.153105276,-6.409,-2.29,0,0,-0.68,-0.52,1.804848117,27.843,3.326581588,16.486,2.802511536,20.9474,3.042014534,28.4472,23.9802,-0.09,1.805,0,,49,4,0,-0.181,0,-1.218,19,20,55,26
CAR,Gulf of California,2008,-1.783105276,-16.269,-12.92,-8.209,0,-3.09,-3.09,1.497323976,22.396,3.108882371,29.34,3.378951773,27.27666667,3.306031636,31.80583333,29.47716667,-0.08,1.497,1,,80,59,8,-9.54,-6.07,-2.808,22,15,74,74
CAR,Gulf of California,2009,-0.514533847,-0.95,0,0,0,-0.1,0,0.847103457,14.834,2.696921843,16.746,2.818159424,18.11466667,2.896721923,18.10583333,18.758,-0.022,0.847,0,,22,0,0,0,0,-0.388,15,21,14,15
CAR,Gulf of California,2010,1.434037581,0,0,0,0,0,0,2.451273225,21.543,3.070050938,26.62,3.281662813,24.0708,3.180999488,20.8708,23.6572,-0.065,2.451,0,,0,0,0,0,0,0.492,23,24,0,1
CAR,Gulf of California,2011,-1.811676704,-14.981,-10.06,-5.124,0,-2.7,-2.31,2.390731753,22.17,3.098740024,29.047,3.368915208,27.2392,3.304657112,22.58,26.3876,-0.058,2.391,1,,79,33,4,-1.501,0,-2.128,22,20,82,48
CAR,Gulf of California,2012,-1.220248133,-10.389,-4.53,0,0,-2.08,-1.62,0.105739952,16.324,2.792636418,12.036,2.487902159,9.4516,2.246184039,7.409,8.3746,-0.025,0.106,0,,87,30,0,-2,0,-1.668,11,16,77,70
CAR,Gulf of California,2013,-0.801736228,-3.622,0,0,0,-0.4,0,0.919784943,24.389,3.194132211,23.022,3.13645028,24.1806,3.185550659,31.1386,27.2316,-0.07,0.92,0,,45,3,0,0,0,-0.798,18,21,40,14
CAR,Gulf of California,2014,0.956894724,0,0,0,0,0,0,-0.475161469,18.12,2.897016301,25.626,3.243607461,23.5,3.157000421,28.15833333,25.9185,-0.066,0.434,0,,0,0,0,0,0,0.672,22,23,0,1
CAR,Gulf of California,2015,0.702013772,0,0,0,0,0,0,0.700607714,13.931,2.634116573,18.708,2.92895124,17.11783333,2.840120805,18.35266667,18.09766667,-0.069,0.701,0,,0,0,0,0,0,0.902,16,24,0,1
CAR,Gulf of California,2016,1.576894724,0,0,0,0,0,0,2.778071177,30.706,3.424458075,33.589,3.514198632,34.827,3.550392948,40.9166,38.574,-0.081,2.778,0,,0,0,0,0,0,1.182,26,19,0,1
CAR,Gulf of California,2017,-0.810819562,-2.097,0,0,0,-0.21,0,1.639046111,30.624,3.421784015,18.817,2.934760717,17.4354,2.858502622,19.236,18.6296,-0.062,1.639,0,,25,0,0,0,0,-0.408,25,24,21,9
COR,Gulf of California,1998,0.831214165,0,0,0,0,0,0,4.677765437,38.868,3.66017129,64.361,4.16450786,59.49416667,4.085878269,59.59166667,61.58716667,-0.092,4.873,0,,0,0,0,0,0,0.52,29,27,2,1
COR,Gulf of California,1999,-1.555928692,-7.792,-5.05,-1.556,0,-1.68,-1.19,4.02358561,29.591,3.387470261,47.122,3.852739983,49.0106,3.892036601,52.59,51.9366,-0.097,4.024,0,,75,27,0,-0.706,0,-1.59,28,27,72,46
COR,Gulf of California,2000,-1.323071549,-4.687,-1.32,0,0,-0.72,0,3.650121448,29.677,3.390372335,46.705,3.843851225,49.1805,3.895497203,54.34033333,52.61933333,-0.103,3.65,0,,54,6,0,0,0,-1.28,28,5,48,27
COR,Gulf of California,2001,-1.400214406,-4.976,-2.71,0,0,-0.75,-0.6,2.525945307,35.772,3.577165464,22.094,3.095306078,25.796,3.250219441,34.007,29.1434,-0.12,2.526,0,,39,20,0,-0.566,0,-1.43,12,26,39,37
COR,Gulf of California,2002,-1.518785835,-7.808,-4.09,-1.519,0,-1.23,-1.23,1.614533097,29.347,3.379190326,37.354,3.620440001,35.509,3.569786185,36.749,36.7216,-0.091,1.615,0,,57,25,0,-0.825,0,-2.34,23,21,52,48
COR,Gulf of California,2003,1.24549988,0,0,0,0,0,0,-2.662644401,22.106,3.095849065,16.49,2.802754137,13.132,2.575052,10.75416667,12.19533333,-0.032,0,0,,4,2,0,0,0,0.46,15,21,4,1
COR,Gulf of California,2004,-1.46450012,-10.007,-3.68,0,0,-1.75,-1.75,1.777092619,18.507,2.918149039,19.8055,2.985959677,17.9998,2.890360647,12.6138,16.1048,-0.048,1.777,0,,68,17,0,-0.066,0,-1.12,18,20,68,72
COR,Gulf of California,2005,0.138357022,0,0,0,0,0,0,3.772306745,22.317,3.10534872,30.171,3.406881198,33.3708,3.507681266,41.5208,38.2146,-0.091,3.772,0,,3,0,0,0,0,0.05,20,22,2,3
COR,Gulf of California,2006,-1.147357263,-8.114,-3.26,0,0,-1.15,-1.14,-2.060567209,17.662,2.871415439,11.829,2.470554144,12.17316667,2.499234076,12.2195,12.1025,0.095,0,0,,75,14,0,-1.354,0,-1.72,8,27,69,47
COR,Gulf of California,2007,-1.264202501,-5.172,-2.52,0,0,-0.67,0,0.990657188,26.997,3.295725749,17.049,2.836091551,21.0966,3.04911189,30.3754,24.9062,-0.116,0.991,0,,55,14,0,-0.078,0,-1.11,18,21,53,27
COR,Gulf of California,2008,-1.688785835,-16.595,-11.94,-8.115,0,-2.99,-2.99,2.064163926,25.001,3.218915824,33.055,3.498172841,30.3555,3.41297772,32.72766667,32.12216667,-0.107,2.064,1,Severe,77,58,9,-8.944,-4.391,-2.49,22,15,74,74
COR,Gulf of California,2009,-0.467357263,-1.171,0,0,0,0,0,2.378704924,15.884,2.765312313,24.73,3.208017082,28.06216667,3.334422287,28.91183333,29.63483333,-0.085,2.379,0,,19,0,0,0,0,-0.3,17,19,17,13
COR,Gulf of California,2010,1.278357022,0,0,0,0,0,0,2.539246395,21.157,3.05197082,25.85,3.252310601,24.8058,3.211077497,22.4356,24.8392,-0.083,2.539,0,,0,0,0,0,0,0.71,23,23,0,1
COR,Gulf of California,2011,-1.911642978,-11.648,-10.02,-3.732,0,-2.75,-2.36,2.955569648,22.461,3.111780472,23.342,3.150254313,22.80816667,3.127118659,21.94433333,22.56033333,-0.08,2.956,1,Medium,82,50,6,-2.78,0,-1.79,18,22,81,49
COR,Gulf of California,2012,-1.250214406,-10.631,-3.54,0,0,-1.89,-1.58,-0.199072929,16.138,2.781176739,12.366,2.514950771,9.7986,2.282239518,7.5924,8.949666667,-0.028,0,0,,85,32,0,-2.113,0,-1.75,7,11,80,53
COR,Gulf of California,2013,-0.728785835,-3.528,0,0,0,-0.41,0,0.698593962,22.804,3.126935959,19.865,2.988959389,25.6052,3.242795456,35.6482,30.8028,-0.101,0.699,0,,43,0,0,0,0,-0.65,16,17,42,24
COR,Gulf of California,2014,0.838357022,0,0,0,0,0,0,-0.434659907,19.028,2.945911579,24.147,3.184160149,24.09216667,3.181886753,30.03383333,27.4155,-0.066,0.111,0,,0,0,0,0,0,0.63,18,19,0,1
COR,Gulf of California,2015,0.811214165,0,0,0,0,0,0,-0.32966091,13.173,2.57816928,17.2545,2.848072979,16.24016667,2.787487597,19.22433333,17.80133333,-0.038,0,0,,0,0,0,0,0,0.9,20,25,0,1
COR,Gulf of California,2016,1.334071308,0,0,0,0,0,0,2.891059376,29.174,3.373277902,33.479,3.510918377,36.6372,3.601064118,44.7106,41.637,-0.1,2.891,0,,0,0,0,0,0,0.75,27,23,0,1
